"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Oct 19 00:25:21 GMT 2022","Wed Oct 19 00:25:31 GMT 2022","10064","","empty spec","","","","3. mypage page check",""
"passed","Wed Oct 19 00:25:06 GMT 2022","Wed Oct 19 00:25:09 GMT 2022","3606","","empty spec","","","","2-4. createaccount failse(no checkbox)",""
"passed","Wed Oct 19 00:24:12 GMT 2022","Wed Oct 19 00:24:23 GMT 2022","10867","","empty spec","","","","1. login menu test",""
"passed","Wed Oct 19 00:28:01 GMT 2022","Wed Oct 19 00:28:36 GMT 2022","34554","","empty spec","","","","5-1. class insert(강의 라이브 생성))",""
"passed","Wed Oct 19 00:24:33 GMT 2022","Wed Oct 19 00:24:36 GMT 2022","3271","","empty spec","","","","1-3. Login failse(no email & password)",""
"passed","Wed Oct 19 00:29:08 GMT 2022","Wed Oct 19 00:29:22 GMT 2022","13564","","empty spec","","","","5-4. class insert(강의 라이브 강의 참여하기-나의 강의실))",""
"passed","Wed Oct 19 00:25:31 GMT 2022","Wed Oct 19 00:25:56 GMT 2022","24069","","empty spec","","","","3-1. editinformation page check",""
"failed","Wed Oct 19 00:29:22 GMT 2022","Wed Oct 19 00:29:40 GMT 2022","17857","","empty spec","","","","5-5. class insert(강의 공개)",""
"passed","Wed Oct 19 00:25:02 GMT 2022","Wed Oct 19 00:25:06 GMT 2022","3400","","empty spec","","","","2-3. createaccount failse(no email & password)",""
"passed","Wed Oct 19 00:25:09 GMT 2022","Wed Oct 19 00:25:13 GMT 2022","3122","","empty spec","","","","2-5. createaccount failse(no checkbox)",""
"passed","Wed Oct 19 00:25:56 GMT 2022","Wed Oct 19 00:26:03 GMT 2022","7943","","empty spec","","","","3-2. editinformation email check",""
"passed","Wed Oct 19 00:26:53 GMT 2022","Wed Oct 19 00:27:14 GMT 2022","21406","","empty spec","","","","4-2. site service (구독관리)",""
"passed","Wed Oct 19 00:27:14 GMT 2022","Wed Oct 19 00:27:41 GMT 2022","26625","","empty spec","","","","4-2. site service (구독 나머지)",""
"passed","Wed Oct 19 00:24:53 GMT 2022","Wed Oct 19 00:24:59 GMT 2022","5759","","empty spec","","","","2-1. createaccount failse (error email)",""
"passed","Wed Oct 19 00:26:17 GMT 2022","Wed Oct 19 00:26:53 GMT 2022","35973","","empty spec","","","","4-1. site check",""
"failed","Wed Oct 19 00:28:36 GMT 2022","Wed Oct 19 00:28:56 GMT 2022","19455","","empty spec","","","","5-2. class insert(강의 라이브 강의 참여하기-강의실 입장))",""
"passed","Wed Oct 19 00:28:56 GMT 2022","Wed Oct 19 00:29:08 GMT 2022","12718","","empty spec","","","","5-3. class insert(강의 라이브 강의 참여하기-팝업))",""
"passed","Wed Oct 19 00:24:59 GMT 2022","Wed Oct 19 00:25:02 GMT 2022","3242","","empty spec","","","","2-2. createaccount failse(no password)",""
"passed","Wed Oct 19 00:24:23 GMT 2022","Wed Oct 19 00:24:27 GMT 2022","4664","","empty spec","","","","1-1. Login failse (error email&error password)",""
"passed","Wed Oct 19 00:23:28 GMT 2022","Wed Oct 19 00:24:00 GMT 2022","31822","","empty spec","","","","0. 사이트 개설",""
"passed","Wed Oct 19 00:24:36 GMT 2022","Wed Oct 19 00:24:43 GMT 2022","6669","","empty spec","","","","1-4. Login should mypage login & logout",""
"passed","Wed Oct 19 00:24:27 GMT 2022","Wed Oct 19 00:24:33 GMT 2022","5180","","empty spec","","","","1-2. Login failse(no password)",""
